WS_ID,Yahoo_Symbol,Primary_Ticker_Source,Primary_Ticker_Resolved_Candidate,Reason,Verified_UTC
WS:XETR:BASFN.DE,BAS.DE,BASFn.DE,BAS,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:40.868127+00:00
WS:XETR:BAYGN.DE,BAYN.DE,BAYGn.DE,BAYN,EXPECTED_MARKET_VERIFIED_EU,2026-08-23T22:04:40.869454+00:00
WS:XETR:BC8G.DE,BC8.DE,BC8G.DE,BC8,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:40.870557+00:00
WS:XETR:BNRGN.DE,BNR.DE,BNRGn.DE,BNR,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:41.303790+00:00
WS:XETR:CBKG.DE,CBK.DE,CBKG.DE,CBK,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:41.304886+00:00
WS:XETR:CONG.DE,CON.DE,CONG.DE,CON,EXPECTED_MARKET_VERIFIED_EU,2026-08-23T22:04:41.306205+00:00
WS:XETR:DBKGN.DE,DBK.DE,DBKGn.DE,DBK,EXPECTED_MARKET_VERIFIED_EU,2026-08-23T22:04:41.517747+00:00
WS:XETR:DHLN.DE,DHL.DE,DHLn.DE,DHL,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:41.519923+00:00
WS:XETR:DTEGN.DE,DTE.DE,DTEGn.DE,DTE,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:41.521109+00:00
WS:XETR:DTGGE.DE,DTG.DE,DTGGe.DE,DTG,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:41.522218+00:00
WS:XETR:ENR1N.DE,ENR.DE,ENR1n.DE,ENR,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:41.523344+00:00
WS:XETR:EVDG.DE,EVD.DE,EVDG.DE,EVD,EXPECTED_MARKET_VERIFIED_EU,2026-08-23T22:04:41.737959+00:00
WS:XETR:EVKN.DE,EVK.DE,EVKn.DE,EVK,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:41.739131+00:00
WS:XETR:FNTGN.DE,FNTN.DE,FNTGn.DE,FNTN,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:41.951094+00:00
WS:XETR:FRAG.DE,FRA.DE,FRAG.DE,FRA,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:42.229676+00:00
WS:XETR:G24N.DE,G24.DE,G24n.DE,G24,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:42.948183+00:00
WS:XETR:GBFG.DE,GBF.DE,GBFG.DE,GBF,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:42.949300+00:00
WS:XETR:HAGG.DE,HAG.DE,HAGG.DE,HAG,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:42.950375+00:00
WS:XETR:HEIG.DE,HEI.DE,HEIG.DE,HEI,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:42.951447+00:00
