WS_ID,Name,Primary_Ticker,Old_Yahoo_Symbol,New_Yahoo_Symbol,Old_Mapping_Status,New_Mapping_Status
WS:XMAD:ENAG.MC,ENAGAS,ENAG.MC,,ENG.MC,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XMAD:GRLS.MC,GRIFOLS,GRLS.MC,,GRF.MC,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XMAD:PUIGB.MC,PUIG BRANDS B,PUIGb.MC,,PUIG.MC,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XMAD:REDE.MC,Redeia Corporacion,REDE.MC,,RED.MC,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XMAD:SABE.MC,BCO SABADELL,SABE.MC,,SAB.MC,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XMIL:A2.MI,A2A,A2.MI,,A2A.MI,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XMIL:AZMT.MI,AZIMUT HLDG,AZMT.MI,,AZM.MI,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XMIL:BCU.MI,BRUNELLO CUCINELLI,BCU.MI,,BC.MI,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XMIL:CPRI.MI,DAVIDE CAMPARI,CPRI.MI,,CPR.MI,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XMIL:CRDI.MI,UNICREDIT,CRDI.MI,,UCG.MI,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XMIL:EMII.MI,BPER Banca,EMII.MI,,BPE.MI,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XMIL:ENEI.MI,ENEL,ENEI.MI,,ENEL.MI,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XMIL:GASI.MI,ASSICURAZIONI GENERALI,GASI.MI,,G.MI,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XMIL:HRA.MI,HERA,HRA.MI,,HER.MI,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XMIL:ITPG.MI,INTERPUMP GRP,ITPG.MI,,IP.MI,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XMIL:LDOF.MI,LEONARDO,LDOF.MI,,LDO.MI,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XMIL:NEXII.MI,NEXI SPA,NEXII.MI,,NEXI.MI,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XMIL:RECI.MI,RECORDATI,RECI.MI,,REC.MI,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XMIL:SPMI.MI,SAIPEM,SPMI.MI,,SPM.MI,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XMIL:TENR.MI,TENARIS,TENR.MI,,TEN.MI,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XMIL:TLIT.MI,TELECOM ITALIA,TLIT.MI,,TIT.MI,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XMIL:UNPI.MI,UNIPOL ASSICURAZIONI,UNPI.MI,,UNI.MI,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XOSL:GJFG.OL,GJENSIDIGE FORSIKRING,GJFG.OL,,GJF.OL,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:ACCP.PA,ACCOR,ACCP.PA,,AC.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:AIRP.PA,AIR LIQUIDE,AIRP.PA,,AI.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:ALSO.PA,ALSTOM,ALSO.PA,,ALO.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:AXAF.PA,AXA,AXAF.PA,,CS.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:BIOX.PA,BIOMERIEUX,BIOX.PA,,BIM.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:BNPP.PA,BNP PARIBAS,BNPP.PA,,BNP.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:BOLL.PA,BOLLORE,BOLL.PA,,BOL.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:BOUY.PA,BOUYGUES,BOUY.PA,,EN.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:CAGR.PA,CREDIT AGRICOLE,CAGR.PA,,ACA.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
