WS_ID,Yahoo_Symbol,Name,Primary_MIC,Primary_Currency,Scale,Usable20,MedianTurnover20_EUR,Liquidity_Class,Liquidity_Status,FX_Status,Last_Session
WS:XPAR:CAGR.PA,ACA.PA,CREDIT AGRICOLE,XPAR,EUR,1.0,20,74177800.3,PREFERRED,OK,IDENTITY,2026-09-03
WS:XPAR:CAPP.PA,CAP.PA,CAP GEMINI,XPAR,EUR,1.0,20,40679176.96,PREFERRED,OK,IDENTITY,2026-09-03
WS:XPAR:CARR.PA,CA.PA,CARREFOUR,XPAR,EUR,1.0,20,23358554.37,PREFERRED,OK,IDENTITY,2026-09-03
WS:XPAR:CVO.PA,COV.PA,COVIVIO,XPAR,EUR,1.0,20,4588527.58,FAIL_LIQ,OK,IDENTITY,2026-09-03
WS:XPAR:DANO.PA,BN.PA,DANONE,XPAR,EUR,1.0,20,60494420.91,PREFERRED,OK,IDENTITY,2026-09-03
WS:XPAR:DAST.PA,DSY.PA,DASSAULT SYSTEMS,XPAR,EUR,1.0,20,34749372.58,PREFERRED,OK,IDENTITY,2026-09-03
WS:XPAR:ENGIE.PA,ENGI.PA,ENGIE,XPAR,EUR,1.0,20,76955910.05,PREFERRED,OK,IDENTITY,2026-09-03
WS:XPAR:ESLX.PA,EL.PA,ESSILORLUXOTTICA,XPAR,EUR,1.0,20,98719619.17,PREFERRED,OK,IDENTITY,2026-09-03
WS:XPAR:EUFI.PA,ERF.PA,EUROFINS SCIENTIFIC,XPAR,EUR,1.0,20,14392338.36,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XPAR:EXHO.PA,SW.PA,SODEXO,XPAR,EUR,1.0,20,11094675.65,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XPAR:FOUG.PA,FGR.PA,EIFFAGE,XPAR,EUR,1.0,20,27059556.14,PREFERRED,OK,IDENTITY,2026-09-03
WS:XPAR:GETP.PA,GET.PA,Getlink,XPAR,EUR,1.0,20,10141209.0,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XPAR:GFCP.PA,GFC.PA,GECINA,XPAR,EUR,1.0,20,13487743.16,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XPAR:HRMS.PA,RMS.PA,HERMES INTERNATIONAL,XPAR,EUR,1.0,20,117531490.25,PREFERRED,OK,IDENTITY,2026-09-03
WS:XPAR:LEGD.PA,LR.PA,LEGRAND,XPAR,EUR,1.0,20,53931739.44,PREFERRED,OK,IDENTITY,2026-09-03
WS:XPAR:LOIM.PA,LI.PA,KLEPIERRE,XPAR,EUR,1.0,20,15653938.28,STANDARD,OK,IDENTITY,2026-09-03
WS:XPAR:LVMH.PA,MC.PA,LVMH MOET HENNESSY,XPAR,EUR,1.0,20,199811028.0,PREFERRED,OK,IDENTITY,2026-09-03
WS:XPAR:MICP.PA,ML.PA,MICHELIN,XPAR,EUR,1.0,20,40441833.68,PREFERRED,OK,IDENTITY,2026-09-03
WS:XPAR:NEXS.PA,NEX.PA,NEXANS,XPAR,EUR,1.0,20,20169974.81,PREFERRED,OK,IDENTITY,2026-09-03
WS:XPAR:ORAN.PA,ORA.PA,ORANGE,XPAR,EUR,1.0,20,66733916.97,PREFERRED,OK,IDENTITY,2026-09-03
WS:XPAR:OREP.PA,OR.PA,L'OREAL,XPAR,EUR,1.0,20,97516589.46,PREFERRED,OK,IDENTITY,2026-09-03
WS:XPAR:PERP.PA,RI.PA,PERNOD RICARD,XPAR,EUR,1.0,20,37966475.75,PREFERRED,OK,IDENTITY,2026-09-03
WS:XPAR:PRTP.PA,KER.PA,Kering,XPAR,EUR,1.0,20,69999022.29,PREFERRED,OK,IDENTITY,2026-09-03
WS:XPAR:PUBP.PA,PUB.PA,PUBLICIS GRP,XPAR,EUR,1.0,20,53589720.98,PREFERRED,OK,IDENTITY,2026-09-03
WS:XPAR:RENA.PA,RNO.PA,RENAULT,XPAR,EUR,1.0,20,35269426.98,PREFERRED,OK,IDENTITY,2026-09-03
WS:XPAR:RUBF.PA,RUI.PA,RUBIS,XPAR,EUR,1.0,20,3006959.98,FAIL_LIQ,OK,IDENTITY,2026-09-03
WS:XPAR:SASY.PA,SAN.PA,SANOFI,XPAR,EUR,1.0,20,108641562.89,PREFERRED,OK,IDENTITY,2026-09-03
WS:XPAR:SCHN.PA,SU.PA,SCHNEIDER ELECTRIC,XPAR,EUR,1.0,20,174036533.75,PREFERRED,OK,IDENTITY,2026-09-03
WS:XPAR:SCOR.PA,SCR.PA,SCOR,XPAR,EUR,1.0,20,9488475.92,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XPAR:SESFD.PA,SESG.PA,SES,XPAR,EUR,1.0,20,3848745.69,FAIL_LIQ,OK,IDENTITY,2026-09-03
WS:XPAR:SGEF.PA,DG.PA,VINCI,XPAR,EUR,1.0,20,90365706.75,PREFERRED,OK,IDENTITY,2026-09-03
WS:XPAR:SGOB.PA,SGO.PA,SAINT GOBAIN,XPAR,EUR,1.0,20,60731124.59,PREFERRED,OK,IDENTITY,2026-09-03
WS:XPAR:SOGN.PA,GLE.PA,GRP SOCIETE GENERALE,XPAR,EUR,1.0,20,133956766.46,PREFERRED,OK,IDENTITY,2026-09-03
WS:XPAR:SOIT.PA,SOI.PA,SOITEC,XPAR,EUR,1.0,20,28132617.0,PREFERRED,OK,IDENTITY,2026-09-03
WS:XPAR:SOPR.PA,SOP.PA,SOPRA STERIA GROUP,XPAR,EUR,1.0,20,6491349.06,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
