WS_ID,Segment_ID,Primary_MIC,Primary_Ticker,Primary_Currency,Prior_Mapping_State,Prior_Yahoo_Symbol,Candidate_Yahoo_Symbol,Mapping_Source,Stock_Data_Request,Data_Returned,First_Bar_Date,Last_Completed_Bar_Date,Mapping_Current_State,Mapping_Current_Reason,Mapping_Override_Used,No_Identity_Promotion
WS:ISIN:TW0002408002,TW_TW50,XTAI,2408,TWD,MAPPING_PRESENT_NOT_REVALIDATED,2408,2408.TW,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:TW0002412004,TW_TW50,XTAI,2412,TWD,MAPPING_PRESENT_NOT_REVALIDATED,2412,2412.TW,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:TW0002449006,TW_TW50,XTAI,2449,TWD,MAPPING_PRESENT_NOT_REVALIDATED,2449,2449.TW,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:TW0002454006,TW_TW50,XTAI,2454,TWD,MAPPING_PRESENT_NOT_REVALIDATED,2454,2454.TW,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:TW0002603008,TW_TW50,XTAI,2603,TWD,MAPPING_PRESENT_NOT_REVALIDATED,2603,2603.TW,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:TW0002880002,TW_TW50,XTAI,2880,TWD,MAPPING_PRESENT_NOT_REVALIDATED,2880,2880.TW,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:TW0002881000,TW_TW50,XTAI,2881,TWD,MAPPING_PRESENT_NOT_REVALIDATED,2881,2881.TW,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:TW0002882008,TW_TW50,XTAI,2882,TWD,MAPPING_PRESENT_NOT_REVALIDATED,2882,2882.TW,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:TW0002883006,TW_TW50,XTAI,2883,TWD,MAPPING_PRESENT_NOT_REVALIDATED,2883,2883.TW,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:TW0002884004,TW_TW50,XTAI,2884,TWD,MAPPING_PRESENT_NOT_REVALIDATED,2884,2884.TW,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
