JSE_ISIN,JSE_Issuer_Name,JSE_Issue_Description,JSE_Number_of_Securities,JSE_Nominal_Value,JSE_Currency_Code,JSE_Instrument_Type,JSE_Alpha_Code,JSE_Instrument_Version,JSE_Legacy_Field,JSE_Issuer_Registration_Number,JSE_Issuer_Income_Tax_Number,JSE_Trailing
ZAE000338737,27Four Collective Investments (RF) (Pty) Ltd,Excelsia Flexible Income 27four Fund A1,000000000000000,0000000000000,ZAC,UT,EF27A1,000,,2015/291620/07,,   
ZAE000338745,27Four Collective Investments (RF) (Pty) Ltd,Excelsia Flexible Income 27four Fund A2,000000000000000,0000000000000,ZAC,UT,EF27A2,000,,2015/291620/07,,   
ZAE000338752,27Four Collective Investments (RF) (Pty) Ltd,Excelsia Flexible Income 27four Fund A3,000000000000000,0000000000000,ZAC,UT,EF27A3,000,,2015/291620/07,,   
ZAE000297552,27Four Collective Investments (RF) (Pty) Ltd,Excelsia Equity 27four Fund A4,000000000000000,0000000000000,ZAC,UT,EEFFA4,000,,2015/291620/07,,   
ZAE000300935,27Four Collective Investments (RF) (Pty) Ltd,Mianzo CPI 3 27four Fund B1,000000000000000,0000000000000,ZAC,UT,MCFFB1,000,,2015/291620/07,,   
ZAE000307260,27Four Collective Investments (RF) (Pty) Ltd,Lodestar Core Equity 27four Fund,000000000000000,0000000000000,ZAC,UT,LCETFF,000,,2015/291620/07,,   
ZAE000307468,27Four Collective Investments (RF) (Pty) Ltd,27four Asset Select Fund of Fund B5,000000000000000,0000000000000,ZAC,UT,ASFB5,000,,2015/291620/07,,   
ZAE000313631,27Four Collective Investments (RF) (Pty) Ltd,Independent Alt 27four Active Bond Fund A1,000000000000000,0000000000000,ZAC,UT,INDFA1,000,,2015/291620/07,,   
ZAE000313649,27Four Collective Investments (RF) (Pty) Ltd,Independent Alt 27four Active Bond Fund S1,000000000000000,0000000000000,ZAC,UT,INDFS1,000,,2015/291620/07,,   
ZAE000256814,27Four Collective Investments (RF) (Pty) Ltd,Prowess Diversified Inc 27four Fd A1,000000000000000,0000000000000,ZAC,UT,PABAA1,000,,2015/291620/07,,   
ZAE000256822,27Four Collective Investments (RF) (Pty) Ltd,Prowess Diversified Inc 27four Fd B1,000000000000000,0000000000000,ZAC,UT,PABAB1,000,,2015/291620/07,,   
ZAE000256830,27Four Collective Investments (RF) (Pty) Ltd,Prowess Diversified Income 27four Fd B3,000000000000000,0000000000000,ZAC,UT,PABAB3,000,,2015/291620/07,,   
ZAE000256889,27Four Collective Investments (RF) (Pty) Ltd,Prowess Money market ACI Fd B4,000000000000000,0000000000000,ZAC,UT,PMMAB4,000,,2015/291620/07,,   
ZAE000259735,27Four Collective Investments (RF) (Pty) Ltd,Excelsia Equity ACI Fund A2,000000000000000,0000000000000,ZAC,UT,EEAFA2,000,,2015/291620/07,,   
ZAE000259958,27Four Collective Investments (RF) (Pty) Ltd,27four Money Market Fund B1,000000000000000,0000000000000,ZAC,UT,ACIMB1,000,,2015/291620/07,,   
ZAE000255840,27Four Collective Investments (RF) (Pty) Ltd,Prowess Bond 27four Fud B1,000000000000000,0000000000000,ZAC,UT,PBAIA1,000,,2015/291620/07,,   
ZAE000255857,27Four Collective Investments (RF) (Pty) Ltd,Prowess Balanced 27four Fund B1,000000000000000,0000000000000,ZAC,UT,PBAIB1,000,,2015/291620/07,,   
ZAE000255865,27Four Collective Investments (RF) (Pty) Ltd,Prowess Balanced ACI Fund B3,000000000000000,0000000000000,ZAC,UT,PBAIB3,000,,2015/291620/07,,   
ZAE000256780,27Four Collective Investments (RF) (Pty) Ltd,Prowess Capped SWIX 40 27fourTracker Fd A1,000000000000000,0000000000000,ZAC,UT,PASFA1,000,,2015/291620/07,,   
ZAE000256798,27Four Collective Investments (RF) (Pty) Ltd,Prowess Capped SWIX 40 27fourTracker Fd B1,000000000000000,0000000000000,ZAC,UT,PASFB1,000,,2015/291620/07,,   
ZAE000256806,27Four Collective Investments (RF) (Pty) Ltd,Prowess Capped SWIX 40 27fourTracker Fd B3,000000000000000,0000000000000,ZAC,UT,PASFB3,000,,2015/291620/07,,   
ZAE000255782,27Four Collective Investments (RF) (Pty) Ltd,Prowess Money market ACI Fund A1,000000000000000,0000000000000,ZAC,UT,PACIA1,000,,2015/291620/07,,   
ZAE000255790,27Four Collective Investments (RF) (Pty) Ltd,Prowess Money market ACI Fund B1,000000000000000,0000000000000,ZAC,UT,PACIB1,000,,2015/291620/07,,   
ZAE000255808,27Four Collective Investments (RF) (Pty) Ltd,Prowess Money market ACI Fund B3,000000000000000,0000000000000,ZAC,UT,PACIB3,000,,2015/291620/07,,   
ZAE000255816,27Four Collective Investments (RF) (Pty) Ltd,Prowess Bond ACI Fund A1,000000000000000,0000000000000,ZAC,UT,PBACA1,000,,2015/291620/07,,   
ZAE000255824,27Four Collective Investments (RF) (Pty) Ltd,Prowess Bond 27four Fund B1,000000000000000,0000000000000,ZAC,UT,PBACB1,000,,2015/291620/07,,   
ZAE000255832,27Four Collective Investments (RF) (Pty) Ltd,Prowess Bond ACI Fund B3,000000000000000,0000000000000,ZAC,UT,PBACB3,000,,2015/291620/07,,   
ZAE000245130,27Four Collective Investments (RF) (Pty) Ltd,MSM Property ACI Fund B1,000000000000000,0000000000000,ZAC,UT,MPAB1,000,,2015/291620/07,,   
ZAE000246302,27Four Collective Investments (RF) (Pty) Ltd,MSM Property ACI Fund B2,000000000000000,0000000000000,ZAC,UT,MPAB2,000,,2015/291620/07,,   
ZAE000247037,27Four Collective Investments (RF) (Pty) Ltd,Benguela Equity ACI Fund A,000000000000000,0000000000000,ZAC,UT,BEAFA,000,,2015/291620/07,,   
ZAE000247045,27Four Collective Investments (RF) (Pty) Ltd,Benguela Equity ACI Fund B,000000000000000,0000000000000,ZAC,UT,BEAFB,000,,2015/291620/07,,   
