WS_ID,Yahoo_Symbol,Yahoo_Mapping_Status,Primary_Ticker,Primary_MIC,Primary_Currency
WS:US:FANG,FANG,EXPLICIT,FANG,,USD
WS:XSHG:603296,603296.SS,EXPLICIT,603296,XSHG,CNY
WS:XSHE:000807,000807.SZ,EXPLICIT,000807,XSHE,CNY
WS:US:CHTR,CHTR,EXPLICIT,CHTR,,USD
WS:US:BDX,BDX,EXPLICIT,BDX,,USD
WS:XSHG:688082,688082.SS,EXPLICIT,688082,XSHG,CNY
WS:ISIN:TW0003443008,3443.TW,EXPLICIT,3443,XTAI,TWD
WS:XSHG:600489,600489.SS,EXPLICIT,600489,XSHG,CNY
WS:US:ARES,ARES,EXPLICIT,ARES,,USD
WS:US:AJG,AJG,EXPLICIT,AJG,,USD
WS:US:AWK,AWK,EXPLICIT,AWK,,USD
WS:US:CARR,CARR,EXPLICIT,CARR,,USD
WS:XTKS:6098,6098.T,EXPLICIT,6098,XTKS,JPY
WS:US:O,O,EXPLICIT,O,,USD
WS:US:GD,GD,EXPLICIT,GD,,USD
WS:US:AME,AME,EXPLICIT,AME,,USD
WS:XTKS:5706,5706.T,EXPLICIT,5706,XTKS,JPY
WS:US:KMI,KMI,EXPLICIT,KMI,,USD
WS:XSHG:601600,601600.SS,EXPLICIT,601600,XSHG,CNY
WS:US:CRS,CRS,EXPLICIT,CRS,,USD
WS:US:HAL,HAL,EXPLICIT,HAL,,USD
WS:XSHG:600111,600111.SS,EXPLICIT,600111,XSHG,CNY
WS:US:FOXA,FOXA,EXPLICIT,FOXA,,USD
WS:US:IQV,IQV,EXPLICIT,IQV,,USD
WS:US:NVT,NVT,EXPLICIT,NVT,,USD
WS:ISIN:TW0003017000,3017.TW,EXPLICIT,3017,XTAI,TWD
WS:US:FITB,FITB,EXPLICIT,FITB,,USD
WS:US:EQT,EQT,EXPLICIT,EQT,,USD
WS:XSHE:002837,002837.SZ,EXPLICIT,002837,XSHE,CNY
WS:US:DHI,DHI,EXPLICIT,DHI,,USD
WS:US:MLM,MLM,EXPLICIT,MLM,,USD
WS:US:PAYX,PAYX,EXPLICIT,PAYX,,USD
WS:US:NRG,NRG,EXPLICIT,NRG,,USD
WS:US:OKE,OKE,EXPLICIT,OKE,,USD
WS:US:KMB,KMB,EXPLICIT,KMB,,USD
WS:US:WAT,WAT,EXPLICIT,WAT,,USD
WS:US:SRE,SRE,EXPLICIT,SRE,,USD
WS:XSHE:300442,300442.SZ,EXPLICIT,300442,XSHE,CNY
WS:US:TRGP,TRGP,EXPLICIT,TRGP,,USD
WS:US:TFC,TFC,EXPLICIT,TFC,,USD
WS:US:GIS,GIS,EXPLICIT,GIS,,USD
WS:US:TTD,TTD,EXPLICIT,TTD,,USD
WS:US:ADM,ADM,EXPLICIT,ADM,,USD
WS:US:LULU,LULU,EXPLICIT,LULU,,USD
WS:XSHE:002050,002050.SZ,EXPLICIT,002050,XSHE,CNY
WS:US:DOCN,DOCN,EXPLICIT,DOCN,,USD
